district,women scouts performance,unauthorized building,CCTV POP,local tax payment,number of bars,average age,population,education,fine dust,single family,traditional market,cultural area,murder,burglar,rape,theft,violence,total of 5crime
강남구,3341,3,0.005667285,3013939,1254,39.1,581760,26,46,54518,10,73,13,21,449,3850,4284,8617
강동구,12797,206,0.001748248,461106,356,40.4,463321,29.6,44,35671,14,16,4,6,156,2366,2712,5244
강북구,10507,1750,0.001892795,208205,308,42.8,334426,46,43,33339,18,15,7,14,153,1434,2649,4257
강서구,3554,143,0.001354729,580512,283,40,595691,32.2,48,47284,12,15,7,13,262,2096,3207,5585
관악구,18463,2096,0.003776716,339572,552,40.5,529031,38.1,51,87950,23,15,9,12,320,2706,3298,6345
광진구,6533,127,0.002382856,348533,37,40,375180,33.5,45,48772,15,25,4,14,240,3026,2625,5909
구로구,13580,375,0.003521746,399179,90,40.5,454604,40.1,46,30967,7,22,8,15,281,2335,3007,5646
금천구,18323,33,0.003083926,333822,157,41.7,256167,40.8,47,24914,6,20,3,6,151,1567,2054,3781
노원구,5766,2399,0.001506344,303031,81,40.1,578221,36.6,46,43478,3,18,10,7,197,2193,2723,5130
도봉구,3467,290,0.001013472,217051,46,41.8,353241,35.5,43,25805,5,12,3,9,102,1063,1487,2664
동대문구,5588,2032,0.002653655,355087,258,41.8,373824,38.7,44,45888,20,27,5,13,173,1981,2548,4720
동작구,8350,1607,0.003040405,352742,116,40.8,412774,37.4,44,48441,6,8,5,9,285,1865,1910,4074
마포구,1202,1373,0.002703646,626098,167,40.1,398351,42.6,46,45552,15,31,8,14,294,2555,2983,5854
서대문구,7227,2429,0.005772117,306682,114,41.7,323105,38,42,36655,8,16,2,5,154,1812,2056,4029
서초구,22185,127,0.002315748,1401665,386,39,451258,31.9,48,33252,6,35,8,9,393,2635,2399,5444
성동구,8043,1730,0.005061216,398949,42,40.9,305065,40.2,46,31469,7,19,4,9,126,1607,1612,3358
성북구,6789,3538,0.002983644,347725,36,41,469560,40.2,42,48913,14,21,5,5,150,1785,2209,4154
송파구,24221,1362,0.000822497,973659,318,39.4,667480,37.6,44,48193,6,28,11,13,220,3239,3295,6778
양천구,5012,33,0.003049017,404915,16,39.4,489010,47.8,48,30295,15,13,3,6,120,1890,2509,4528
영등포구,16315,1645,0.002307263,1077655,534,41.3,417811,43.1,49,36827,8,18,14,22,295,2964,3572,6867
용산구,4994,2786,0.00613935,568306,94,42.3,247909,33.1,42,27870,6,93,5,14,194,1557,2050,3820
은평구,6789,979,0.002934868,332329,168,41.3,502578,49,45,39443,14,29,3,9,166,1914,2653,4745
종로구,8861,1269,0.006989293,761582,526,42.9,163822,36.4,50,19080,24,163,6,11,211,2184,2293,4705
중구,2935,1582,0.004496423,1270708,784,43.4,134329,41.7,44,15353,31,84,3,9,170,2548,2224,4954
중랑구,8448,364,0.002083,274273,73,41.6,418620,37.5,45,42648,13,13,13,11,187,2135,2847,5193
